[00:00:55] 리장 타워,1팀,2팀
[00:00:55] 55.06,전원,레킹볼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wireless,(-77.11, 96.56, 143.43),2팀,0,0,600
[00:00:55] 55.06,Jimizo,시메트라,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wireless,(-73.88, 96.58, 145.68),2팀,0,0,225
[00:00:55] 55.06,MINJUNE,젠야타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,하이드,(73.70, 96.58, 143.93),1팀,0,0,200
[00:00:55] 55.06,Smiley,맥크리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,하이드,(72.25, 96.58, 145.45),1팀,0,0,225
[00:00:55] 55.06,Jasm1ne,시그마,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,전원,(73.44, 96.58, 145.24),1팀,0,0,400
[00:00:55] 55.06,Felinz,시메트라,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,하이드,(74.08, 96.58, 144.32),1팀,0,0,225
[00:00:55] 55.06,zipsin,시그마,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kara,(-73.33, 96.58, 146.41),2팀,0,0,400
[00:00:55] 55.06,wireless,레킹볼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,하이드,(75.39, 96.56, 145.65),1팀,0,0,600
[00:00:55] 55.06,플라코인더월드,루시우,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zipsin,(-77.67, 96.73, 146.14),2팀,0,0,200
[00:00:55] 55.06,ReFresh,솜브라,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wireless,(-75.86, 96.56, 145.08),2팀,0,0,200
[00:00:55] 55.06,Kara,브리기테,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,하이드,(74.06, 96.57, 143.00),1팀,0,0,200
[00:00:55] 55.06,하이드,젠야타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kara,(-75.24, 96.56, 146.78),2팀,0,0,200
[00:00:56] 56.05,0,0
[00:00:56] 56.06,전원,레킹볼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wireless,(-67.48, 97.99, 148.21),2팀,0,0,600
[00:00:56] 56.06,Jimizo,시메트라,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wireless,(-67.72, 97.97, 145.33),2팀,0,0,225
[00:00:56] 56.06,MINJUNE,젠야타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,전원,(73.65, 96.58, 143.92),1팀,0,0,200
[00:00:56] 56.06,Smiley,맥크리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,플라코인더월드,(69.58, 97.55, 145.67),1팀,0,0,225
